type,name,code,address,district,branch_name,open_date
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029016,"2, Duhabi Municipality",Sunsari,Duhabi,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029017,"5, Gramthan Rural Municipality",Morang,Tetaria,2013-05-17
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026001,"2, Baglung Municipality",Baglung,Baglung,2013-03-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026002,"8, Beni Municipality",Myagdi,Myagdi ,2013-03-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026003,"5, Kushma Municipality",Parbat,Parbat ,2013-03-29
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026004,"8, Sundarbazar Municipality",Lamjung,Lamjung,2013-04-04
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026005,"10, Madhya Bindu Municipality",Nawalparasi East,Aarunkhola ,2013-07-30
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026006,"2, Pratapapur Rural Municipality",Nawalparasi West,Jamuniya,2014-04-23
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026007,"21, Bharatpur Metropolitian City",Chitawan,Parbatipur,2014-04-23
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026008,"13, Gorkha Municipality",Gorkha,Deurali,2014-04-23
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026009,"6, Bhimad Municipality",Tanahu,Bhimad,2014-04-23
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026010,"4, Rolpa Municipality",Rolpa,Liwang,2014-07-27
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026011,"8, Pyuthan Municipality",Pyuthan,Bagdulla,2014-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026012,"14, Ghorahi Sub-Metropolitian City",Dang,Ghorahi,2014-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026013,"1, Sharada Municipality",Salyan,Shreenagar,2014-12-24
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024040,"5, Chhireshwornath Municipality",Dhanusa,MAHENDRANAGAR,2019-04-07
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024041,"2, Makawanpurgadhi Rural Municipality",Makwanpur,MAKWANPURGADHI,2019-04-14
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024042,"1, Maharajganj Municipality",Kapilbastu,MAHARAJGUNG,2019-05-16
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024043,"5, Dakneshwori Municipality",Saptari,PATO,2019-06-04
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024044,"7, Galchhi Rural Municipality",Dhading,GALCHHI,2019-07-01
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024045,"2, Ghyanglekha Rural Municipality",Sindhuli,GHYANGLEKH,2019-07-01
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024046,"1, Budhiganga Rural Municipality",Morang,TANKISINUWARI,2019-10-13
